Solver,network,property,cpus,state,runtime,SAT/UNSAT
ReluVal,ACASXU_run2a_4_3_batch_2000,property3,4,Ok,161.28,UNSAT
ReluVal,ACASXU_run2a_2_4_batch_2000,property3,4,Ok,44.29,UNSAT
ReluVal,ACASXU_run2a_2_6_batch_2000,property3,4,Ok,0.86,UNSAT
ReluVal,ACASXU_run2a_3_3_batch_2000,property3,4,Ok,11.10,UNSAT
ReluVal,ACASXU_run2a_5_6_batch_2000,property3,4,Ok,59.50,UNSAT
ReluVal,ACASXU_run2a_1_7_batch_2000,property3,4,Ok,0.79,SAT
ReluVal,ACASXU_run2a_3_1_batch_2000,property3,4,Ok,311.37,UNSAT
ReluVal,ACASXU_run2a_5_2_batch_2000,property3,4,Ok,173.60,UNSAT
ReluVal,ACASXU_run2a_1_9_batch_2000,property3,4,Ok,0.50,SAT
ReluVal,ACASXU_run2a_4_1_batch_2000,property3,4,Ok,1050.63,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,4,Ok,175.13,UNSAT
ReluVal,ACASXU_run2a_1_3_batch_2000,property3,4,Ok,551.57,UNSAT
ReluVal,ACASXU_run2a_5_3_batch_2000,property3,4,Ok,12.71,UNSAT
ReluVal,ACASXU_run2a_4_4_batch_2000,property3,4,Ok,3.22,UNSAT
ReluVal,ACASXU_run2a_4_6_batch_2000,property3,4,Ok,4.85,UNSAT
ReluVal,ACASXU_run2a_2_8_batch_2000,property3,4,Ok,1.06,UNSAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,4,Ok,41.37,UNSAT
ReluVal,ACASXU_run2a_5_1_batch_2000,property3,4,Ok,2268.49,UNSAT
ReluVal,ACASXU_run2a_5_9_batch_2000,property3,4,Ok,4.35,UNSAT
ReluVal,ACASXU_run2a_2_2_batch_2000,property3,4,Ok,706.00,UNSAT
ReluVal,ACASXU_run2a_1_5_batch_2000,property3,4,Ok,9.68,UNSAT
ReluVal,ACASXU_run2a_1_8_batch_2000,property3,4,Ok,0.48,SAT
ReluVal,ACASXU_run2a_1_4_batch_2000,property3,4,Ok,31.31,UNSAT
ReluVal,ACASXU_run2a_4_5_batch_2000,property3,4,Ok,4.73,UNSAT
ReluVal,ACASXU_run2a_3_8_batch_2000,property3,4,Ok,439.81,UNSAT
ReluVal,ACASXU_run2a_2_3_batch_2000,property3,4,Ok,325.62,UNSAT
ReluVal,ACASXU_run2a_3_6_batch_2000,property3,4,Ok,1215.45,UNSAT
ReluVal,ACASXU_run2a_2_1_batch_2000,property3,4,Ok,3296.34,UNSAT
ReluVal,ACASXU_run2a_5_8_batch_2000,property3,4,Ok,2.37,UNSAT
ReluVal,ACASXU_run2a_3_5_batch_2000,property3,4,Ok,356.26,UNSAT
ReluVal,ACASXU_run2a_1_6_batch_2000,property3,4,Ok,1.43,UNSAT
ReluVal,ACASXU_run2a_2_7_batch_2000,property3,4,Ok,15.29,UNSAT
ReluVal,ACASXU_run2a_4_7_batch_2000,property3,4,Ok,28.42,UNSAT
ReluVal,ACASXU_run2a_2_5_batch_2000,property3,4,Ok,10.41,UNSAT
ReluVal,ACASXU_run2a_3_2_batch_2000,property3,4,Ok,534.08,UNSAT
ReluVal,ACASXU_run2a_5_4_batch_2000,property3,4,Ok,10.52,UNSAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,4,Ok,301.92,UNSAT
ReluVal,ACASXU_run2a_4_9_batch_2000,property3,16,Ok,1.28,UNSAT
ReluVal,ACASXU_run2a_1_1_batch_2000,property3,16,Ok,5790.46,UNSAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,16,Ok,16.20,UNSAT
ReluVal,ACASXU_run2a_2_9_batch_2000,property3,16,Ok,0.29,UNSAT
ReluVal,ACASXU_run2a_4_1_batch_2000,property3,16,Ok,656.82,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,16,Ok,98.48,UNSAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,16,Ok,148.25,UNSAT
ReluVal,ACASXU_run2a_3_4_batch_2000,property3,16,Ok,14.70,UNSAT
ReluVal,ACASXU_run2a_1_2_batch_2000,property3,16,Ok,73.32,UNSAT
ReluVal,ACASXU_run2a_5_2_batch_2000,property3,16,Ok,98.64,UNSAT
ReluVal,ACASXU_run2a_2_1_batch_2000,property3,16,Ok,7200.0,UNSAT
ReluVal,ACASXU_run2a_1_7_batch_2000,property3,16,Ok,0.56,SAT
ReluVal,ACASXU_run2a_3_6_batch_2000,property3,16,Ok,500.31,UNSAT
ReluVal,ACASXU_run2a_3_1_batch_2000,property3,16,Ok,152.56,UNSAT
ReluVal,ACASXU_run2a_4_5_batch_2000,property3,16,Ok,1.92,UNSAT
ReluVal,ACASXU_run2a_1_3_batch_2000,property3,16,Ok,141.50,UNSAT
ReluVal,ACASXU_run2a_2_2_batch_2000,property3,16,Ok,388.88,UNSAT
ReluVal,ACASXU_run2a_5_3_batch_2000,property3,16,Ok,3.92,UNSAT
ReluVal,ACASXU_run2a_2_3_batch_2000,property3,16,Ok,155.91,UNSAT
ReluVal,ACASXU_run2a_2_5_batch_2000,property3,16,Ok,4.12,UNSAT
ReluVal,ACASXU_run2a_2_6_batch_2000,property3,16,Ok,0.94,UNSAT
ReluVal,ACASXU_run2a_5_6_batch_2000,property3,16,Ok,24.05,UNSAT
ReluVal,ACASXU_run2a_3_3_batch_2000,property3,16,Ok,7.47,UNSAT
ReluVal,ACASXU_run2a_1_5_batch_2000,property3,16,Ok,3.70,UNSAT
ReluVal,ACASXU_run2a_2_4_batch_2000,property3,16,Ok,18.00,UNSAT
ReluVal,ACASXU_run2a_4_6_batch_2000,property3,16,Ok,1.81,UNSAT
ReluVal,ACASXU_run2a_1_4_batch_2000,property3,16,Ok,8.73,UNSAT
ReluVal,ACASXU_run2a_3_7_batch_2000,property3,16,Ok,1.15,UNSAT
ReluVal,ACASXU_run2a_2_8_batch_2000,property3,16,Ok,0.43,UNSAT
ReluVal,ACASXU_run2a_5_9_batch_2000,property3,16,Ok,1.67,UNSAT
ReluVal,ACASXU_run2a_1_6_batch_2000,property3,16,Ok,0.74,UNSAT
ReluVal,ACASXU_run2a_5_4_batch_2000,property3,16,Ok,3.38,UNSAT
ReluVal,ACASXU_run2a_5_8_batch_2000,property3,16,Ok,1.27,UNSAT
ReluVal,ACASXU_run2a_4_4_batch_2000,property3,16,Ok,1.20,UNSAT
ReluVal,ACASXU_run2a_2_7_batch_2000,property3,16,Ok,5.24,UNSAT
ReluVal,ACASXU_run2a_1_9_batch_2000,property3,16,Ok,0.51,SAT
ReluVal,ACASXU_run2a_3_5_batch_2000,property3,16,Ok,160.52,UNSAT
ReluVal,ACASXU_run2a_3_8_batch_2000,property3,16,Ok,205.49,UNSAT
ReluVal,ACASXU_run2a_3_2_batch_2000,property3,16,Ok,245.45,UNSAT
ReluVal,ACASXU_run2a_1_8_batch_2000,property3,16,Ok,0.49,SAT
ReluVal,ACASXU_run2a_5_1_batch_2000,property3,16,Ok,1204.62,UNSAT
ReluVal,ACASXU_run2a_4_7_batch_2000,property3,16,Ok,13.87,UNSAT
ReluVal,ACASXU_run2a_5_7_batch_2000,property3,16,Ok,1.07,UNSAT
ReluVal,ACASXU_run2a_4_2_batch_2000,property3,16,Ok,5186.94,UNSAT
ReluVal,ACASXU_run2a_4_3_batch_2000,property3,16,Ok,68.48,UNSAT
ReluVal,ACASXU_run2a_5_6_batch_2000,property3,32,Ok,25.10,UNSAT
ReluVal,ACASXU_run2a_4_5_batch_2000,property3,32,Ok,1.28,UNSAT
ReluVal,ACASXU_run2a_3_7_batch_2000,property3,32,Ok,0.44,UNSAT
ReluVal,ACASXU_run2a_5_9_batch_2000,property3,32,Ok,1.11,UNSAT
ReluVal,ACASXU_run2a_5_8_batch_2000,property3,32,Ok,0.80,UNSAT
ReluVal,ACASXU_run2a_2_6_batch_2000,property3,32,Ok,0.88,UNSAT
ReluVal,ACASXU_run2a_5_1_batch_2000,property3,32,Ok,1285.24,UNSAT
ReluVal,ACASXU_run2a_3_2_batch_2000,property3,32,Ok,254.10,UNSAT
ReluVal,ACASXU_run2a_2_7_batch_2000,property3,32,Ok,4.83,UNSAT
ReluVal,ACASXU_run2a_4_2_batch_2000,property3,32,Ok,4945.33,UNSAT
ReluVal,ACASXU_run2a_1_1_batch_2000,property3,32,Ok,4539.45,UNSAT
ReluVal,ACASXU_run2a_2_4_batch_2000,property3,32,Ok,19.26,UNSAT
ReluVal,ACASXU_run2a_5_3_batch_2000,property3,32,Ok,3.74,UNSAT
ReluVal,ACASXU_run2a_4_6_batch_2000,property3,32,Ok,1.11,UNSAT
ReluVal,ACASXU_run2a_1_5_batch_2000,property3,32,Ok,3.99,UNSAT
ReluVal,ACASXU_run2a_2_2_batch_2000,property3,32,Ok,288.89,UNSAT
ReluVal,ACASXU_run2a_3_4_batch_2000,property3,32,Ok,13.11,UNSAT
ReluVal,ACASXU_run2a_4_1_batch_2000,property3,32,Ok,619.02,UNSAT
ReluVal,ACASXU_run2a_4_4_batch_2000,property3,32,Ok,1.31,UNSAT
ReluVal,ACASXU_run2a_5_2_batch_2000,property3,32,Ok,89.03,UNSAT
ReluVal,ACASXU_run2a_4_3_batch_2000,property3,32,Ok,65.25,UNSAT
ReluVal,ACASXU_run2a_5_7_batch_2000,property3,32,Ok,0.38,UNSAT
ReluVal,ACASXU_run2a_1_3_batch_2000,property3,32,Ok,118.96,UNSAT
ReluVal,ACASXU_run2a_3_8_batch_2000,property3,32,Ok,209.82,UNSAT
ReluVal,ACASXU_run2a_4_7_batch_2000,property3,32,Ok,12.01,UNSAT
ReluVal,ACASXU_run2a_1_2_batch_2000,property3,32,Ok,63.48,UNSAT
ReluVal,ACASXU_run2a_2_1_batch_2000,property3,32,Ok,1412.48,UNSAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,32,Ok,130.89,UNSAT
ReluVal,ACASXU_run2a_1_8_batch_2000,property3,32,Ok,0.14,SAT
ReluVal,ACASXU_run2a_3_3_batch_2000,property3,32,Ok,5.55,UNSAT
ReluVal,ACASXU_run2a_1_4_batch_2000,property3,32,Ok,6.85,UNSAT
ReluVal,ACASXU_run2a_1_9_batch_2000,property3,32,Ok,0.16,SAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,32,Ok,17.16,UNSAT
ReluVal,ACASXU_run2a_4_9_batch_2000,property3,32,Ok,0.78,UNSAT
ReluVal,ACASXU_run2a_2_3_batch_2000,property3,32,Ok,146.20,UNSAT
ReluVal,ACASXU_run2a_3_1_batch_2000,property3,32,Ok,99.09,UNSAT
ReluVal,ACASXU_run2a_2_9_batch_2000,property3,32,Ok,0.47,UNSAT
ReluVal,ACASXU_run2a_3_6_batch_2000,property3,32,Ok,491.18,UNSAT
ReluVal,ACASXU_run2a_2_8_batch_2000,property3,32,Ok,0.37,UNSAT
ReluVal,ACASXU_run2a_5_4_batch_2000,property3,32,Ok,3.09,UNSAT
ReluVal,ACASXU_run2a_3_5_batch_2000,property3,32,Ok,134.26,UNSAT
ReluVal,ACASXU_run2a_1_7_batch_2000,property3,32,Ok,0.96,SAT
ReluVal,ACASXU_run2a_2_5_batch_2000,property3,32,Ok,4.40,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,32,Ok,91.48,UNSAT
ReluVal,ACASXU_run2a_1_6_batch_2000,property3,32,Ok,1.08,UNSAT
ReluVal,ACASXU_run2a_3_9_batch_2000,property3,8,Ok,208.71,UNSAT
ReluVal,ACASXU_run2a_2_2_batch_2000,property3,8,Ok,515.42,UNSAT
ReluVal,ACASXU_run2a_5_1_batch_2000,property3,8,E,0,--
ReluVal,ACASXU_run2a_5_9_batch_2000,property3,8,Ok,1.29,UNSAT
ReluVal,ACASXU_run2a_5_3_batch_2000,property3,8,Ok,6.61,UNSAT
ReluVal,ACASXU_run2a_2_7_batch_2000,property3,8,Ok,6.82,UNSAT
ReluVal,ACASXU_run2a_1_3_batch_2000,property3,8,Ok,194.38,UNSAT
ReluVal,ACASXU_run2a_1_8_batch_2000,property3,8,Ok,0.37,SAT
ReluVal,ACASXU_run2a_1_5_batch_2000,property3,8,Ok,4.51,UNSAT
ReluVal,ACASXU_run2a_3_2_batch_2000,property3,8,Ok,277.96,UNSAT
ReluVal,ACASXU_run2a_4_3_batch_2000,property3,8,Ok,83.46,UNSAT
ReluVal,ACASXU_run2a_4_9_batch_2000,property3,8,Ok,1.10,UNSAT
ReluVal,ACASXU_run2a_5_5_batch_2000,property3,8,Ok,24.33,UNSAT
ReluVal,ACASXU_run2a_4_8_batch_2000,property3,8,Ok,103.36,UNSAT
ReluVal,ACASXU_run2a_5_8_batch_2000,property3,8,Ok,0.78,UNSAT
ReluVal,ACASXU_run2a_1_9_batch_2000,property3,8,Ok,0.38,SAT
ReluVal,ACASXU_run2a_4_4_batch_2000,property3,8,Ok,1.69,UNSAT
ReluVal,ACASXU_run2a_2_8_batch_2000,property3,8,Ok,0.99,UNSAT
ReluVal,ACASXU_run2a_3_4_batch_2000,property3,8,Ok,22.78,UNSAT
